Altitude (m),Resized Sim Count,Exp Count
12900,57.2343102485308,50.29
13000,57.42331660759948,47.84
13100,57.64047776008255,46.95
13200,58.08795435377507,44.98
13300,58.53796949441479,50.18
13400,58.98844618904491,50.72
13500,59.4825397357678,54.72
13600,59.701547104212466,56.78
13700,60.130099984298596,57.27
13800,60.63780937373828,50.36
13900,61.00728334305325,56.24
14000,61.210367098829124,54.56
14100,61.5685329953793,59.09
14200,61.99916286842223,60.79
14300,62.30817326499484,58.62
14400,62.80111292674174,51.97
14500,63.08958417074155,61.03
14600,63.542830189314074,64.79
14700,63.69375834417478,61.05
14800,64.06253998250415,60.91
14900,64.32031788614239,61.31
15000,64.55109488134225,65.11
15100,64.93326158539321,63.01
15200,65.34912173074335,67.77
15300,65.67797894890315,64.16
15400,66.04722214122292,62.94
15500,66.35438632183393,66.76
15600,66.47323647436185,62.4
15700,66.79909359158405,64.13
15800,67.0303321407743,65.67
15900,67.3584970279485,59.69
16000,67.93313174599614,66.6
16100,67.98136413799291,67.41
16200,68.1583700933112,72.24
16300,68.29106686555112,64.39
16400,68.47014981382621,71.06
16500,68.61946252972051,67.86
16600,68.56430682786775,67.07
16700,68.82485405544838,66.22
16800,69.06993922435063,68.81
16900,69.42464346597282,66.97
17000,69.68034437665426,69.97
17100,69.72442278273743,69.53
17200,69.78904034139339,67.29
17300,70.01566335067965,69.83
17400,70.36667516037863,73.31
17500,70.50260281055134,74.98
17600,70.5727590170921,73.09
17700,70.80930543717196,70.4
17800,70.8866157305639,74.54
17900,70.67614711094164,70.74
18000,70.90023157328069,67.94
18100,71.00892753801983,72.09
18200,70.94269454039747,68.61
18300,71.063390908887,72.29
18400,71.32139958952044,69.6
18500,71.5260987842627,72.09
18600,71.5353298640707,75.81
18700,71.57248496029788,68.53
18800,71.42455690637478,65.49
18900,71.63294853304023,69.77
19000,71.8563406643937,70.52
19100,71.83233985689292,70.86
19200,71.97126760800323,71.89
19300,72.0195,75.62
19400,71.63133309407384,72.57
19500,71.58263914808667,70.1
19600,71.50002098380513,67.27
19700,71.61933269032345,72.24
19800,71.8538021174465,68.72
19900,71.93618950473285,72.2
20000,71.89326498362568,70.25
20100,71.81503158225293,72.22
20200,71.96019031223364,71.16
20300,71.81595469023372,68.05
20400,71.79818486160333,71.41
20500,71.64517971378584,70.31
20600,71.7072587254946,67.97
20700,71.64148728186264,69.62
20800,71.54825337580189,71.68
20900,71.5346375330851,70.23
21000,71.64679515275223,71.66
21100,71.48617436409313,70.81
21200,71.28678304024045,70.89
21300,71.41186417163878,70.56
21400,71.47602017630433,71.4
21500,71.22839646045489,68.53
21600,71.24570473509488,71.73
21700,71.2226270355749,68.91
21800,71.17693319052532,62.95
21900,71.10216144408056,68.41
22000,71.16562511776053,64.72
22100,71.07400665066619,61.79
22200,71.08069918352699,68.8
22300,70.98792683145665,60.91
22400,71.00961986900543,74.68
22500,70.96923389484546,66.42
22600,70.98100352160064,68.07
22700,70.84369120945674,70.73
22800,70.80330523529676,68.38
22900,70.54437344668251,68.45
23000,70.50167970257054,66.74
23100,70.40336870261541,59.64
23200,70.42967728006819,69.17
23300,70.48667919788255,65.74
23400,70.32444297025705,68.73
23500,70.20005416984434,64.53
23600,70.26697949845229,63.52
23700,70.10243550087479,64.59
23800,70.02581753846844,70.9
23900,70.02627909245884,65.11
24000,69.87742793055493,67.17
24100,69.94481481315329,66.38
24200,69.87696637656454,66.44
24300,69.87419705262214,64.81
24400,69.82804165358216,66.77
24500,69.72673055268943,64.44
24600,69.64318928042708,65.14
24700,69.46941420304158,64.63
24800,69.43018211385761,61.56
24900,69.2880234848145,66.59
25000,69.128095027141,66.53
25100,69.13455678300659,62.84
25200,69.11170986048181,60.84
25300,69.07224699430263,65.69
25400,68.92778059530752,61.74
25500,68.87124023148355,62.76
25600,68.69377272217487,60.2
25700,68.49207362837019,61.74
25800,68.20544860033198,65.82
25900,68.01067281638329,54.68
26000,67.92967009106815,57.2
26100,67.97697937508411,64.66
26200,67.91005404647616,64.53
26300,67.88513013099457,54.27
26400,67.82651277421381,62.82
26500,67.6977392108923,61.98
26600,67.5355029832668,62.71
26700,67.49996332600601,60.49
26800,67.54819571800279,59.98
26900,67.33403466645731,60.45
27000,67.12541226279664,62.67
27100,66.8847118568032,61.36
27200,66.99479248351352,64.47
27300,66.8697113521152,60.32
27400,66.67401246018572,60.15
27500,66.61862598133776,55.79
27600,66.50600680768024,56.6
27700,66.47300569736664,60.95
27800,66.3961569579651,61.91
27900,66.42408097438428,59.22
28000,66.40654192274908,59.11
28100,66.36038652370912,56.17
